D:\pycharm_workstation\rl-pusher\venv\Scripts\python.exe D:\pycharm_workstation\rl-pusher\reinforcement-learning\main.py
D:\pycharm_workstation\rl-pusher\reinforcement-learning\main.py:35: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  bc_state = torch.load(
[INFO] BC weights loaded into PPO actor: net.0/net.2/mu (mu network only).
D:\pycharm_workstation\rl-pusher\reinforcement-learning\ppo_model.py:262: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\torch\csrc\utils\tensor_new.cpp:281.)
  state = torch.tensor([observation], dtype=torch.float32).to(self.actor.device)
... saving models
episode 0 score -13.0 avg score -13.0 time_steps 50 learning_steps 0
... saving models
episode 1 score -8.0 avg score -10.5 time_steps 100 learning_steps 0
... saving models
episode 2 score -8.3 avg score -9.8 time_steps 150 learning_steps 0
... saving models
episode 3 score -4.6 avg score -8.5 time_steps 200 learning_steps 0
episode 4 score -13.5 avg score -9.5 time_steps 250 learning_steps 0
episode 5 score -6.9 avg score -9.1 time_steps 300 learning_steps 0
episode 6 score -8.2 avg score -8.9 time_steps 350 learning_steps 0
episode 7 score -13.4 avg score -9.5 time_steps 400 learning_steps 0
episode 8 score -18.4 avg score -10.5 time_steps 450 learning_steps 0
episode 9 score -14.6 avg score -10.9 time_steps 500 learning_steps 0
episode 10 score -12.0 avg score -11.0 time_steps 550 learning_steps 0
episode 11 score -3.2 avg score -10.3 time_steps 600 learning_steps 0
episode 12 score -11.9 avg score -10.5 time_steps 650 learning_steps 0
episode 13 score -36.6 avg score -12.3 time_steps 700 learning_steps 0
episode 14 score -7.8 avg score -12.0 time_steps 750 learning_steps 0
episode 15 score -2.5 avg score -11.4 time_steps 800 learning_steps 0
episode 16 score -9.6 avg score -11.3 time_steps 850 learning_steps 0
episode 17 score -6.5 avg score -11.1 time_steps 900 learning_steps 0
episode 18 score -5.5 avg score -10.8 time_steps 950 learning_steps 0
episode 19 score -9.2 avg score -10.7 time_steps 1000 learning_steps 0
episode 20 score -32.4 avg score -11.7 time_steps 1050 learning_steps 0
episode 21 score -12.2 avg score -11.7 time_steps 1100 learning_steps 0
episode 22 score -3.9 avg score -11.4 time_steps 1150 learning_steps 0
episode 23 score -40.6 avg score -12.6 time_steps 1200 learning_steps 0
episode 24 score -9.4 avg score -12.5 time_steps 1250 learning_steps 0
episode 25 score -10.7 avg score -12.4 time_steps 1300 learning_steps 0
episode 26 score -20.8 avg score -12.7 time_steps 1350 learning_steps 0
episode 27 score -18.4 avg score -12.9 time_steps 1400 learning_steps 0
episode 28 score -4.6 avg score -12.6 time_steps 1450 learning_steps 0
episode 29 score -13.5 avg score -12.7 time_steps 1500 learning_steps 0
episode 30 score -11.3 avg score -12.6 time_steps 1550 learning_steps 0
episode 31 score -4.3 avg score -12.4 time_steps 1600 learning_steps 0
episode 32 score -13.6 avg score -12.4 time_steps 1650 learning_steps 0
episode 33 score -10.6 avg score -12.3 time_steps 1700 learning_steps 0
episode 34 score -21.9 avg score -12.6 time_steps 1750 learning_steps 0
episode 35 score -15.3 avg score -12.7 time_steps 1800 learning_steps 0
episode 36 score -21.9 avg score -12.9 time_steps 1850 learning_steps 0
episode 37 score -11.9 avg score -12.9 time_steps 1900 learning_steps 0
episode 38 score -16.2 avg score -13.0 time_steps 1950 learning_steps 0
episode 39 score -35.8 avg score -13.6 time_steps 2000 learning_steps 0
episode 40 score -14.9 avg score -13.6 time_steps 2050 learning_steps 1
